Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
166,Lodi West,San Joaquin Valley,9/13/2000,257,3.26, ,0, ,179, ,1.6, ,34.2, ,16.7,Y,23.5, ,83, ,25, ,55, ,14, ,0.7, ,63.9, ,21.2, 
166,Lodi West,San Joaquin Valley,9/14/2000,258,4.1, ,0, ,232, ,1.7, ,28, ,15.3, ,21.4, ,86, ,51, ,68, ,15.2, ,1.5, ,133.7, ,21.3, 
166,Lodi West,San Joaquin Valley,9/15/2000,259,4.32, ,0, ,251, ,1.6, ,27.2, ,13.3, ,20.1, ,88, ,44, ,66, ,13.7, ,1.6, ,139.4, ,21.1, 
166,Lodi West,San Joaquin Valley,9/16/2000,260,4.14, ,0, ,247, ,1.6, ,29.7, ,11, ,20, ,95, ,40, ,69, ,14.1, ,1, ,84.1, ,20.7, 
166,Lodi West,San Joaquin Valley,9/17/2000,261,4.37, ,0, ,250, ,1.5, ,34.3, ,10.7, ,21.8, ,94, ,25, ,58, ,13.2, ,0.7, ,64.5, ,20.6, 
166,Lodi West,San Joaquin Valley,9/18/2000,262,4.44, ,0, ,243, ,1.6, ,36.6, ,13.7, ,24.7, ,86, ,29, ,53, ,14.4, ,0.7,Y,60.3,Y,20.8, 
166,Lodi West,San Joaquin Valley,9/19/2000,263,4.48, ,0, ,238, ,1.7, ,37.8, ,14.7, ,25.5, ,85, ,26, ,51, ,14.7, ,0.8, ,66.9, ,21.2, 
166,Lodi West,San Joaquin Valley,9/20/2000,264,4.29, ,0, ,229, ,1.7, ,36.7, ,16, ,24.4, ,86, ,29, ,56, ,15.1, ,1.2, ,105.5, ,21.6, 
166,Lodi West,San Joaquin Valley,9/21/2000,265,3.42, ,0, ,212, ,1.6, ,24.9, ,14.9, ,19.1, ,88, ,54, ,73, ,14.1, ,1.7, ,147, ,21.4, 
166,Lodi West,San Joaquin Valley,9/22/2000,266,2.53, ,0, ,167, ,1.6, ,23.4, ,14.6, ,18.6, ,87, ,61, ,75, ,14.1, ,1.2, ,103.6, ,21.2, 
