Date,Day,Year,Wine_lot,Block_ID,Row,Vine,Clusters,Weight_lbs,Weight_kg,Treatment ,pixel_number,Rep
9/19/2019,262,2019,B1L2,B1R2,7,12,133,34.66,15.72,1,34,2
9/19/2019,262,2019,B1L2,B1R2,3,16,124,42.36,19.21,1,34,2
9/19/2019,262,2019,B1L2,B1R2,5,8,109,29.08,13.19,1,34,2
9/19/2019,262,2019,B1L2,B1R2,5,11,107,25.26,11.46,1,34,2
9/19/2019,262,2019,B1L2,B1R2,7,5,96,25.9,11.75,1,34,2
9/19/2019,262,2019,B1L2,B1R2,3,8,112,25.62,11.62,1,34,2
9/19/2019,262,2019,B1L3,B1R3,5,13,98,13.98,6.34,1,55,3
9/19/2019,262,2019,B1L3,B1R3,5,4,104,14.3,6.49,1,55,3
9/19/2019,262,2019,B1L3,B1R3,8,11,87,10.42,4.73,1,55,3
9/19/2019,262,2019,B1L3,B1R3,5,9,78,15.44,7,1,55,3
9/19/2019,262,2019,B1L3,B1R3,8,5,108,12.92,5.86,1,55,3
9/19/2019,262,2019,B1L3,B1R3,3,12,70,11.64,5.28,1,55,3
9/19/2019,262,2019,B1L1,B1R4,3,12,103,14.84,6.73,1,67,1
9/19/2019,262,2019,B1L1,B1R4,8,11,99,12.94,5.87,1,67,1
9/19/2019,262,2019,B1L1,B1R4,8,7,113,17.22,7.81,1,67,1
9/19/2019,262,2019,B1L1,B1R4,5,13,85,13.92,6.31,1,67,1
9/19/2019,262,2019,B1L1,B1R4,3,6,97,14.08,6.39,1,67,1
9/19/2019,262,2019,B1L1,B1R4,5,9,85,13.58,6.16,1,67,1
9/19/2019,262,2019,B2L1,B2R1,3,10,133,31.22,14.16,2,23,1
9/19/2019,262,2019,B2L1,B2R1,7,13,111,24.1,10.93,2,23,1
9/19/2019,262,2019,B2L1,B2R1,3,5,104,21.28,9.65,2,23,1
9/19/2019,262,2019,B2L1,B2R1,7,6,107,21.86,9.92,2,23,1
9/19/2019,262,2019,B2L1,B2R1,5,4,110,25.64,11.63,2,23,1
9/19/2019,262,2019,B2L1,B2R1,5,7,69,19.3,8.75,2,23,1
9/19/2019,262,2019,B2L2,B2R2,3,12,117,17.26,7.83,2,35,1
9/19/2019,262,2019,B2L2,B2R2,5,10,145,29.2,13.24,2,35,2
9/19/2019,262,2019,B2L2,B2R2,3,9,100,15.5,7.03,2,35,2
9/19/2019,262,2019,B2L2,B2R2,8,5,79,11,4.99,2,35,2
9/19/2019,262,2019,B2L2,B2R2,8,13,80,7.92,3.59,2,35,2
9/19/2019,262,2019,B2L2,B2R2,5,3,93,15.2,6.89,2,35,2
9/19/2019,262,2019,B2L3,B2R3,7,8,99,15.97,7.24,2,48,3
9/19/2019,262,2019,B2L3,B2R3,7,3,107,16.32,7.4,2,48,3
9/19/2019,262,2019,B2L3,B2R3,3,11,106,17.54,7.96,2,48,3
9/19/2019,262,2019,B2L3,B2R3,5,10,95,18.68,8.47,2,48,3
9/19/2019,262,2019,B2L3,B2R3,5,15,110,22.96,10.41,2,48,3
9/19/2019,262,2019,B2L3,B2R3,3,6,137,20.69,9.38,2,48,3
9/19/2019,262,2019,B3L1,B3R1,3,5,121,27.18,12.33,3,27,1
9/19/2019,262,2019,B3L1,B3R1,7,7,127,25.04,11.36,3,27,1
9/19/2019,262,2019,B3L1,B3R1,7,4,90,17.84,8.09,3,27,1
9/19/2019,262,2019,B3L1,B3R1,5,6,95,15.85,7.19,3,27,1
9/19/2019,262,2019,B3L1,B3R1,5,9,120,21.11,9.58,3,27,1
9/19/2019,262,2019,B3L1,B3R1,3,9,145,26.17,11.87,3,27,1
9/19/2019,262,2019,B3L2,B3R2,8,14,118,19.62,8.9,3,45,2
9/19/2019,262,2019,B3L2,B3R2,3,6,68,16.92,7.67,3,45,2
9/19/2019,262,2019,B3L2,B3R2,3,10,60,10.68,4.84,3,45,2
9/19/2019,262,2019,B3L2,B3R2,8,10,116,17.78,8.06,3,45,2
9/19/2019,262,2019,B3L2,B3R2,5,7,89,18.24,8.27,3,45,2
9/19/2019,262,2019,B3L2,B3R2,5,11,92,11.56,5.24,3,45,2
9/23/2019,266,2019,B3L3,B3R3,5,6,75,10.93,4.96,3,54,3
9/23/2019,266,2019,B3L3,B3R3,7,7,109,15.75,7.14,3,54,3
9/23/2019,266,2019,B3L3,B3R3,7,9,72,9.17,4.16,3,54,3
9/23/2019,266,2019,B3L3,B3R3,3,10,62,13.04,5.91,3,54,3
9/23/2019,266,2019,B3L3,B3R3,5,10,126,17.67,8.01,3,54,3
9/23/2019,266,2019,B3L3,B3R3,7,15,84,11,4.99,3,54,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
