date,sample_id,Rep,pH,TA,Brix,treatment ,pixel_number,Rep1
8/2/2019,B1R2,1,2.75,19.1,13.2,1,34,2
8/2/2019,B1R2,2,2.76,18.4,13.7,1,34,2
8/2/2019,B1R2,3,2.76,18.9,13.7,1,34,2
8/2/2019,B1R3,1,2.75,18.8,13.8,1,55,3
8/2/2019,B1R3,2,2.81,16.4,14.8,1,55,3
8/2/2019,B1R3,3,2.78,18.2,13.9,1,55,3
8/2/2019,B1R4,1,2.79,18.9,13.7,1,67,1
8/2/2019,B1R4,2,2.8,18.8,13.7,1,67,1
8/2/2019,B1R4,3,2.8,18.2,14.5,1,67,1
8/2/2019,B2R1,1,2.76,19.5,13.6,2,23,1
8/2/2019,B2R1,2,2.73,20.2,13,2,23,1
8/2/2019,B2R1,3,2.75,19.4,13,2,23,1
8/2/2019,B2R2,1,2.79,18.5,14.4,2,35,2
8/2/2019,B2R2,2,2.76,18.9,14.2,2,35,2
8/2/2019,B2R2,3,2.81,17.9,14.7,2,35,2
8/2/2019,B2R3,1,2.79,18.8,13.8,2,48,3
8/2/2019,B2R3,2,2.81,18.9,13.4,2,48,3
8/2/2019,B2R3,3,2.78,18.9,13.1,2,48,3
8/2/2019,B3R1,1,2.92,16,14.8,3,27,1
8/2/2019,B3R1,2,2.88,16.2,15.1,3,27,1
8/2/2019,B3R1,3,2.9,15.6,14.9,3,27,1
8/2/2019,B3R2,1,2.79,18,13.5,3,45,2
8/2/2019,B3R2,2,2.76,18.9,12.9,3,45,2
8/2/2019,B3R2,3,2.81,17.4,13.9,3,45,2
8/2/2019,B3R3,1,2.79,19.2,13.5,3,54,3
8/2/2019,B3R3,2,2.76,21.1,13,3,54,3
8/2/2019,B3R3,3,2.75,21.3,12.7,3,54,3
8/8/2019,B1R2,1,2.92,14.1,16.2,1,34,2
8/8/2019,B1R2,2,2.87,14.4,16,1,34,2
8/8/2019,B1R2,3,2.86,13.1,16.5,1,34,2
8/8/2019,B1R3,1,2.9,10.8,17.4,1,55,3
8/8/2019,B1R3,2,2.96,10.2,17.7,1,55,3
8/8/2019,B1R3,3,2.91,9.9,17.5,1,55,3
8/8/2019,B1R4,1,2.88,12,16.7,1,67,1
8/8/2019,B1R4,2,2.9,11.4,17,1,67,1
8/8/2019,B1R4,3,2.97,12,17.1,1,67,1
8/8/2019,B2R1,1,2.93,14.4,16.2,2,23,1
8/8/2019,B2R1,2,2.95,14,16.1,2,23,1
8/8/2019,B2R1,3,2.93,14,16.1,2,23,1
8/8/2019,B2R2,1,2.93,12.7,17.3,2,35,2
8/8/2019,B2R2,2,2.87,13.5,16.9,2,35,2
8/8/2019,B2R2,3,2.84,12.4,17.2,2,35,2
8/8/2019,B2R3,1,2.93,10.8,16.9,2,48,3
8/8/2019,B2R3,2,3.02,9.8,17.1,2,48,3
8/8/2019,B2R3,3,3.02,10.5,16.8,2,48,3
8/8/2019,B3R1,1,3.04,10.3,17.3,3,27,1
8/8/2019,B3R1,2,2.95,11.8,16.8,3,27,1
8/8/2019,B3R1,3,2.97,11.1,16.8,3,27,1
8/8/2019,B3R2,1,2.89,12.5,16.7,3,45,2
8/8/2019,B3R2,2,2.85,13.1,16.8,3,45,2
8/8/2019,B3R2,3,2.87,12.8,16.6,3,45,2
8/8/2019,B3R3,1,2.9,11.3,17.4,3,54,3
8/8/2019,B3R3,2,2.89,11.6,17,3,54,3
8/8/2019,B3R3,3,2.85,12.7,16.6,3,54,3
8/15/2019,B1R2,1,2.99,9.4,18.9,1,34,2
8/15/2019,B1R2,2,3,9.2,19.1,1,34,2
8/15/2019,B1R2,3,3.03,9.9,19,1,34,2
8/15/2019,B1R3,1,3.15,7.3,20.8,1,55,3
8/15/2019,B1R3,2,3.18,7.2,20.6,1,55,3
8/15/2019,B1R3,3,3.15,7.3,20.7,1,55,3
8/15/2019,B1R4,1,3.17,7.2,20.8,1,67,1
8/15/2019,B1R4,2,3.16,7.6,20.8,1,67,1
8/15/2019,B1R4,3,3.19,7.6,20.7,1,67,1
8/15/2019,B2R1,1,2.93,8.8,18.9,2,23,1
8/15/2019,B2R1,2,3,9.2,18.8,2,23,1
8/15/2019,B2R1,3,2.99,9.7,18.5,2,23,1
8/15/2019,B2R2,1,3,9.3,19.8,2,35,2
8/15/2019,B2R2,2,3.03,8.8,20,2,35,2
8/15/2019,B2R2,3,2.98,8.7,19.5,2,35,2
8/15/2019,B2R3,1,3.04,8.5,19.9,2,48,3
8/15/2019,B2R3,2,3.09,8.2,19.9,2,48,3
8/15/2019,B2R3,3,3.07,9,19.7,2,48,3
8/15/2019,B3R1,1,3.11,9,19.6,3,27,1
8/15/2019,B3R1,2,3.09,8.2,20.1,3,27,1
8/15/2019,B3R1,3,3.16,8.2,20.3,3,27,1
8/15/2019,B3R2,1,3.07,9.7,19.6,3,45,2
8/15/2019,B3R2,2,3.1,9.2,20,3,45,2
8/15/2019,B3R2,3,3.13,8.9,20,3,45,2
8/15/2019,B3R3,1,3.1,8.6,20.2,3,54,3
8/15/2019,B3R3,2,3.15,8.7,20.4,3,54,3
8/15/2019,B3R3,3,3.11,8.5,20.1,3,54,3
8/20/2019,B1R2,1,3.03,8.22,19.7,1,34,2
