Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
11/12/2019,9/12/2019,B1R2,1,2.032,0.845,1.187,3615,69,54.5,0.79,2856,10.67,75.33,60,18.47,2.62,3.28,1
11/12/2019,9/12/2019,B1R2,2,1.955,0.738,1.217,3709,69,57,0.83,3064,11.24,75.67,60,18.81,2.79,3.52,1
11/12/2019,9/12/2019,B1R2,3,2.096,0.807,1.289,3934,69,51.5,0.75,2936,10.58,75.98,60,19.15,2.67,3.38,1
11/12/2019,9/12/2019,B1R3,1,1.272,0.565,0.707,2117,47,52,1.11,2342,8.71,52.66,60,12.64,2.09,1.83,1
11/12/2019,9/12/2019,B1R3,2,1.034,0.457,0.577,1711,47,57,1.21,2075,8.71,52.89,60,11.2,1.84,1.63,1
11/12/2019,9/12/2019,B1R3,3,1.095,0.514,0.581,1723,47,57,1.21,2090,8.76,52.14,60,11.21,1.88,1.64,1
11/12/2019,9/12/2019,B1R4,1,1.315,0.625,0.69,2064,47,53,1.13,2327,8.05,51.76,60,13.59,2.11,1.82,1
11/12/2019,9/12/2019,B1R4,2,1.208,0.609,0.599,1780,47,52,1.11,1969,7.04,51.59,60,13.14,1.79,1.54,1
11/12/2019,9/12/2019,B1R4,3,1.351,0.592,0.759,2279,47,54.5,1.16,2643,8.19,51.77,60,15.17,2.4,2.07,1
11/13/2019,9/16/2019,B2R1,1,2.029,1.048,0.981,2972,60,50.5,0.84,2502,9.79,67.05,60,15.33,2.24,2.5,2
11/14/2019,9/16/2019,B2R1,3,1.932,0.761,1.171,3565,61,50.5,0.83,2952,10.56,67.11,60,17.05,2.68,3,2
11/19/2019,9/16/2019,B2R1,2,1.864,0.767,1.097,3334,60,53.5,0.89,2973,10.54,67.21,60,16.92,2.65,2.97,2
11/19/2019,9/19/2019,B2R2,1,2.012,0.871,1.141,3472,58,51,0.88,3053,10.42,64.16,60,16.99,2.76,2.95,2
11/19/2019,9/19/2019,B2R2,2,2.148,0.74,1.408,4305,58,53,0.91,3934,10.23,64.18,60,22.3,3.56,3.8,2
11/19/2019,9/19/2019,B2R2,3,1.831,0.737,1.094,3325,58,54.5,0.94,3124,10.71,64.23,60,16.92,2.82,3.02,2
11/13/2019,9/19/2019,B2R3,1,1.525,0.79,0.735,2204,52,53.5,1.03,2268,7.54,57.23,60,15.64,2.06,1.97,2
11/13/2019,9/19/2019,B2R3,3,1.414,0.68,0.734,2201,52,54,1.04,2286,7.31,57.06,60,16.26,2.08,1.98,2
11/14/2019,9/19/2019,B2R3,2,1.201,0.57,0.631,1879,52,59,1.13,2132,7.01,56.82,60,15.82,1.95,1.85,2
11/19/2019,9/19/2019,B3R1,1,1.367,0.604,0.763,2292,56,57.5,1.03,2353,8.93,62.67,60,14.76,2.1,2.2,3
11/19/2019,9/19/2019,B3R1,2,1.314,0.557,0.757,2273,56,55.5,0.99,2253,9.59,62.56,60,13.15,2.02,2.1,3
11/19/2019,9/19/2019,B3R1,3,1.495,0.596,0.899,2716,56,52.5,0.94,2546,8.9,62.95,60,16.02,2.27,2.38,3
11/13/2019,9/19/2019,B3R2,2,1.559,0.856,0.703,2104,55,52.5,0.95,2009,9.66,61.82,60,11.44,1.79,1.84,3
11/13/2019,9/19/2019,B3R2,3,1.628,0.712,0.916,2769,55,59,1.07,2971,8.45,61.45,60,19.34,2.66,2.72,3
11/14/2019,9/19/2019,B3R2,1,1.241,0.592,0.649,1936,55,56.5,1.03,1988,9.17,61.52,60,11.93,1.78,1.82,3
11/13/2019,9/19/2019,B3R3,1,1.599,0.792,0.807,2429,54,54,1,2429,8.69,60.68,60,15.09,2.16,2.19,3
11/13/2019,9/19/2019,B3R3,3,1.39,0.717,0.673,2011,54,54,1,2011,8.45,60.31,60,12.85,1.8,1.81,3
11/14/2019,9/19/2019,B3R3,2,1.686,0.807,0.879,2654,54,51,0.94,2506,8.82,60.48,60,15.34,2.24,2.26,3
1/14/2020,9/12/2019,B1R2,1,2.127,0.829,1.298,3962,69,54.5,0.79,3129,10.67,75.33,60,20.24,2.87,3.6,1
1/14/2020,9/12/2019,B1R2,2,1.935,0.715,1.22,3718,69,57,0.83,3072,11.24,75.67,60,18.86,2.8,3.53,1
1/14/2020,9/12/2019,B1R2,3,1.946,0.799,1.147,3490,69,51.5,0.75,2605,10.58,75.98,60,16.99,2.37,3,1
1/14/2020,9/12/2019,B1R3,1,1.17,0.541,0.629,1873,47,52,1.11,2072,8.71,52.66,60,11.18,1.85,1.62,1
1/14/2020,9/12/2019,B1R3,2,1.063,0.514,0.549,1623,47,57,1.21,1969,8.71,52.89,60,10.62,1.75,1.54,1
1/14/2020,9/12/2019,B1R3,3,0.952,0.41,0.542,1602,47,57,1.21,1942,8.76,52.14,60,10.42,1.75,1.52,1
1/14/2020,9/12/2019,B1R4,1,1.246,0.57,0.676,2020,47,53,1.13,2278,8.05,51.76,60,13.3,2.07,1.78,1
1/14/2020,9/12/2019,B1R4,2,1.156,0.566,0.59,1751,47,52,1.11,1938,7.04,51.59,60,12.94,1.77,1.52,1
1/14/2020,9/12/2019,B1R4,3,1.257,0.526,0.731,2192,47,54.5,1.16,2541,8.19,51.77,60,14.58,2.31,1.99,1
1/14/2020,9/12/2019,B1R2,1,2.029,0.778,1.251,3815,69,54.5,0.79,3013,10.67,75.33,60,19.49,2.76,3.47,1
