Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B1R2,1,Harvest,0.036350209,Delphinidin-3-glucoside,D3G,1
B1R2,2,Harvest,0.030829467,Delphinidin-3-glucoside,D3G,1
B1R2,3,Harvest,0.033326214,Delphinidin-3-glucoside,D3G,1
B1R2,1,1st point,0.016870069,Delphinidin-3-glucoside,D3G,1
B1R2,2,1st point,0.01505657,Delphinidin-3-glucoside,D3G,1
B1R2,3,1st point,0.012682011,Delphinidin-3-glucoside,D3G,1
B1R2,1,Harvest,0.005703563,Cyanindin-3-glucoside,C3G,1
B1R2,2,Harvest,0.005109758,Cyanindin-3-glucoside,C3G,1
B1R2,3,Harvest,0.00553515,Cyanindin-3-glucoside,C3G,1
B1R2,1,1st point,0.005169044,Cyanindin-3-glucoside,C3G,1
B1R2,2,1st point,0.004662961,Cyanindin-3-glucoside,C3G,1
B1R2,3,1st point,0.004475887,Cyanindin-3-glucoside,C3G,1
B1R2,1,Harvest,0.03031917,Petunidin-3-glucoside,Pet3G,1
B1R2,2,Harvest,0.026285549,Petunidin-3-glucoside,Pet3G,1
B1R2,3,Harvest,0.028516715,Petunidin-3-glucoside,Pet3G,1
B1R2,1,1st point,0.01415841,Petunidin-3-glucoside,Pet3G,1
B1R2,2,1st point,0.012703863,Petunidin-3-glucoside,Pet3G,1
B1R2,3,1st point,0.010931829,Petunidin-3-glucoside,Pet3G,1
B1R2,1,Harvest,0.031726164,Peonidin-3-glucoside,Peo3G,1
B1R2,2,Harvest,0.027479441,Peonidin-3-glucoside,Peo3G,1
B1R2,3,Harvest,0.030569061,Peonidin-3-glucoside,Peo3G,1
B1R2,1,1st point,0.017506442,Peonidin-3-glucoside,Peo3G,1
B1R2,2,1st point,0.015620375,Peonidin-3-glucoside,Peo3G,1
B1R2,3,1st point,0.014413528,Peonidin-3-glucoside,Peo3G,1
B1R2,1,Harvest,0.270878885,Malvidin-3-glucoside,M3G,1
B1R2,2,Harvest,0.235640374,Malvidin-3-glucoside,M3G,1
B1R2,3,Harvest,0.244522082,Malvidin-3-glucoside,M3G,1
B1R2,1,1st point,0.097901638,Malvidin-3-glucoside,M3G,1
B1R2,2,1st point,0.087560775,Malvidin-3-glucoside,M3G,1
B1R2,3,1st point,0.078784633,Malvidin-3-glucoside,M3G,1
B1R2,1,Harvest,0.008865161,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R2,2,Harvest,0.007717711,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R2,3,Harvest,0.008703244,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R2,1,1st point,0.005383694,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R2,2,1st point,0.004881522,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R2,3,1st point,0.004337732,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R2,1,Harvest,0.002922681,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R2,2,Harvest,0.002787887,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R2,3,Harvest,0.002739967,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R2,1,1st point,0.002727928,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R2,2,1st point,0.002528486,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R2,3,1st point,0.002556219,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R2,1,Harvest,0.012059865,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R2,2,Harvest,0.010747048,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R2,3,Harvest,0.011677417,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R2,1,1st point,0.007285239,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R2,2,1st point,0.00704272,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R2,3,1st point,0.006181906,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1
B1R2,1,Harvest,0.017224361,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R2,2,Harvest,0.015465397,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R2,3,Harvest,0.016166178,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R2,1,1st point,0.01068546,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R2,2,1st point,0.010315527,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R2,3,1st point,0.009331467,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1
B1R2,1,Harvest,0.179459039,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R2,2,Harvest,0.151601197,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R2,3,Harvest,0.156368778,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R2,1,1st point,0.069049335,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R2,2,1st point,0.064701268,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
B1R2,3,1st point,0.058702368,Malvidin-3-(6-acetyl) glucoside,M3Gac,1
