Sample,Rep,Set,mAU Sample Delphinidin-3-glucoside,mAU Sample Cyanidin-3-glucoside,mAU Sample Petunidin-3-glucoside,mAU Sample Peonidin-3-glucoside,mAU Sample Malvidin-3-glucoside,mAU Delphinidin-3-glu-ac,mAU Sample Cyanidin-3-glu-ac,mAU Sample Petunidin-3-glu-ac,mAU Sample Peonidin-3-glu-ac,mAU Sample Malvidin-3-glu-ac,mAU Sample Peonidin-3-glu-p-coum,mAU Sample Malvidin-3-glu-p-coum,Concentration Delphinidin-3-glucoside Sample (mg/L),dephiglu_mg_berry,delphiglu_mg_ 60 berries,delphiglu_mg_g skin,delphiglu_mg_g berry,Concentration Cyanidin-3-glucoside Sample (mg/L),cyaniglu_mg_berry,cyaniglu_mg_60 berries,cyaniglu_mg_g skin,cyaniglu_mg_g berry,Concentration Petunidin-3-glucoside Sample (mg/L),petuglu_mg_berry,petuglu_mg_60 berries,petuglu_mg_g skin,petuglu_mg_g berry,Concentration Peonidin-3-glucoside Sample (mg/L),peoni_glu_mg_berry,peoni_glu_mg_60 berries,peoni_glu_mg_g skin,peoni_glu_mg_g berry,Concentration Malvidin Sample (mg/L)*10,malvi_glu_mg_berry,malvi_glu_mg_60 berries,malvi_glu_mg_g skin,malvi_glu_mg_g berry,Concentration Delphinidin-3-glu-ac Sample (mg/L),delphi_ac_mg_berry,delphi_ac_mg_60 berries,delphi_ac_mg_g skin,delphi_ac_mg_g berry,Concentration Cyanidin-3-glu-ac Sample (mg/L),cyani_ac_mg_berry,cyani_ac_mg_60 berries,cyani_ac_mg_g skin,cyani_ac_mg_g berry,Concentration Petunidin-3-glu-ac Sample (mg/L),petu_ac_mg_berry,petu_ac_mg_60 berries,petu_ac_mg_g skin,petu_ac_mg_g berry,Concentration Peonidin-3-glu-ac Sample (mg/L),peoni_ac_mg_berry,peoni_ac_mg_60 berries,peoni_ac_mg_g skin,peoni_ac_mg_g berry,Concentration Malvidin-3-glu-ac Sample (mg/L),malvi_ac_mg_berry,malvi_ac_mg_60 berries,malvi_ac_mg_g skin,malvi_ac_mg_g berry,Concentration Peonidin-3-glu-p-coum Sample (mg/L),peoni_coum_mg_berry,peoni_coum_mg_60 berries,peoni_coum_mg_g skin,peoni_coum_mg_g berry,Concentration Malvidin-3-glu-p-coum Sample (mg/L),malvi_coum_mg_berry,malvi_coum_mg_60 berries,malvi_coum_mg_g skin,malvi_coum_mg_g berry,Total Anthocyanins mg_60 berry,Mg_b,Extract_ini_vol,Extract_final_vol,dilution_factor,Total_antho_mg_L_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,treatment
B1R2,1,Harvest,209.144,24,172.709,181.209,1625.99,43.1,7.2,62.4,93.6,1073.7,55.0841,255.097,31.60887707,0.036350209,2.181012518,0.204406047,0.028952775,4.95962,0.005703563,0.34221378,0.032072519,0.004542862,26.36449604,0.03031917,1.819150227,0.170492055,0.02414908,27.58796904,0.031726164,1.903569864,0.178403924,0.025269745,235.5468566,0.270878885,16.25273311,1.523217723,0.215753791,7.7088358,0.008865161,0.53190967,0.049850953,0.00706106,2.5414616,0.002922681,0.17536085,0.016434944,0.002327902,10.4868392,0.012059865,0.723591905,0.067815549,0.009605627,14.9777048,0.017224361,1.033461631,0.09685676,0.013719124,156.0513386,0.179459039,10.76754236,1.00914174,0.142938303,9.433803186,0.010848874,0.65093242,0.06100585,0.008641078,38.22325999,0.043956749,2.637404939,0.247179469,0.035011349,39.01888327,0.650314721,69,54.5,0.79,672,10.67,75.33,60,1
B1R2,2,Harvest,166.816,18.925,140.688,147.553,1344.5,33.921,5.574,51.34,78.471,861.266,42.071,196.507,26.80823242,0.030829467,1.849768037,0.16457011,0.024445197,4.44326805,0.005109758,0.306585495,0.02727629,0.004051612,22.85699949,0.026285549,1.577132965,0.140314321,0.020842249,23.89516598,0.027479441,1.648766452,0.146687407,0.021788905,204.904673,0.235640374,14.13842244,1.257866765,0.186843167,6.711053146,0.007717711,0.463062667,0.041197746,0.006119501,2.424249724,0.002787887,0.167273231,0.01488196,0.002210562,9.34525884,0.010747048,0.64482286,0.057368582,0.008521513,13.44817145,0.015465397,0.92792383,0.082555501,0.01226277,131.8271281,0.151601197,9.09607184,0.80925906,0.120207108,7.943545046,0.009135077,0.548104608,0.048763755,0.007243354,31.29828358,0.035993026,2.159581567,0.192133591,0.028539468,33.52751599,0.558791933,69,57,0.83,653,11.24,75.67,60,1
B1R2,3,Harvest,201.613,24.766,171.008,184.068,1545.547,44.926,6.979,63.852,92.416,984.588,49.834,226.07,28.97931645,0.033326214,1.999572835,0.188995542,0.026317094,4.8131739,0.00553515,0.332108999,0.031390265,0.004371006,24.7971432,0.028516715,1.711002881,0.161720499,0.022519122,26.5817922,0.030569061,1.834143662,0.173359514,0.024139822,212.6278976,0.244522082,14.67132493,1.38670368,0.193094563,7.5680379,0.008703244,0.522194615,0.049356769,0.00687279,2.38258035,0.002739967,0.164398044,0.015538568,0.002163702,10.1542758,0.011677417,0.70064503,0.066223538,0.00922144,14.0575464,0.016166178,0.969970702,0.09167965,0.012766132,135.9728502,0.156368778,9.382126664,0.886779458,0.12348153,8.2387161,0.009474524,0.568471411,0.053730757,0.007481856,32.3213655,0.03716957,2.23017422,0.210791514,0.029352122,35.08613399,0.5847689,69,51.5,0.75,655,10.58,75.98,60,1
B1R3,1,Harvest,220.598,21.719,170.618,124.264,1034.248,50.113,7.89,62.719,62.818,629.801,28.833,128.779,46.72895272,0.036604346,2.196260778,0.252153935,0.041706433,6.507265998,0.005097358,0.305841502,0.035113835,0.005807852,36.62089756,0.02868637,1.721182185,0.197609895,0.032684812,27.24617189,0.021342835,1.280570079,0.147022971,0.0243177,211.283156,0.165505139,9.930308333,1.140104286,0.188574028,12.24972535,0.009595618,0.575737091,0.066100699,0.010933101,3.71046138,0.002906528,0.174391685,0.020022007,0.003311654,14.799188,0.011592697,0.695561836,0.079857846,0.013208542,14.81920996,0.011608381,0.696502868,0.079965886,0.013226412,129.4869858,0.101431472,6.085888335,0.698724263,0.115569471,7.946015586,0.006224379,0.373462733,0.042877466,0.007091962,28.15929452,0.022058114,1.323486842,0.151950269,0.025132678,25.35919427,0.422653238,47,52,1.11,571,8.71,52.66,60,1
B1R3,2,Harvest,187.83,21.439,152.129,118.976,998.653,47.283,6.309,58.405,62.309,610.816,26.919,126.547,43.71466946,0.034243158,2.054589465,0.235888572,0.038846464,7.031776818,0.005508225,0.33049351,0.037944146,0.006248696,35.8439556,0.028077765,1.684665913,0.193417441,0.031852258,28.53497891,0.0223524,1.341144009,0.153977498,0.025357232,222.4703297,0.174268425,10.4561055,1.200471354,0.19769532,12.72939675,0.009971361,0.598281647,0.068689052,0.01131181,3.696186758,0.002895346,0.173720778,0.01994498,0.003284568,15.18137511,0.011892077,0.71352463,0.081920164,0.013490728,16.04205876,0.012566279,0.753976762,0.086564496,0.014255564,136.967009,0.107290824,6.437449423,0.73908719,0.121713924,8.239908578,0.006454595,0.387275703,0.044463341,0.007322286,30.20409671,0.023659876,1.419592546,0.162984219,0.026840472,26.35081988,0.439180331,47,57,1.21,574,8.71,52.89,60,1
B1R3,3,Harvest,155.507,17.617,125.999,100.997,854.224,37.123,4.906,47.284,50.905,517.236,21.732,106.931,36.58867623,0.02866113,1.719667783,0.196309108,0.032981737,6.189171054,0.004848184,0.29089104,0.03320674,0.005579038,30.08328354,0.023565239,1.413914326,0.161405745,0.027117651,24.57129261,0.019247513,1.154850753,0.131832278,0.022149036,190.6292235,0.149326225,8.959573504,1.022782363,0.171836853,10.48950283,0.008216777,0.493006633,0.056279296,0.00945544,3.386878572,0.002653055,0.159183293,0.018171609,0.003052998,12.72961721,0.009971533,0.598292009,0.068298175,0.011474722,13.52791011,0.010596863,0.635811775,0.072581253,0.012194319,116.336175,0.091130004,5.467800227,0.624178108,0.104867668,7.096372184,0.005558825,0.333529493,0.038074143,0.006396807,25.87951412,0.020272286,1.216337164,0.138851274,0.023328292,22.442858,0.374047633,47,57,1.21,627,8.76,52.14,60,1
B1R4,1,Harvest,209.045,25.658,158.663,130.46,1052.303,49.545,6.273,59.713,64.039,627.904,27.631,129.725,45.19231487,0.035400647,2.124038799,0.263855751,0.041036298,7.435498988,0.005824474,0.349468452,0.04341223,0.006751709,34.81936642,0.02727517,1.636510222,0.203293195,0.031617276,29.01276356,0.022726665,1.363599887,0.16939129,0.026344666,218.8073315,0.171399076,10.28394458,1.277508643,0.198685173,12.35349787,0.009676907,0.5806144,0.072126012,0.011217434,3.444398878,0.002698112,0.161886747,0.020110155,0.003127642,14.44694672,0.011316775,0.679006496,0.084348633,0.013118364,15.33760955,0.012014461,0.720867649,0.089548776,0.013927118,131.4295189,0.102953123,6.17718739,0.767352471,0.119342878,7.841712066,0.006142674,0.368560467,0.045783909,0.007120565,28.86143735,0.022608126,1.356487555,0.168507771,0.026207256,25.80217264,0.430036211,47,53,1.13,722,8.05,51.76,60,1
B1R4,2,Harvest,217.098,26.734,163.353,145.275,1090.197,53.324,7.689,64.61,74.501,673.963,35.123,151.334,46.02110572,0.036049866,2.162991969,0.307243177,0.041926574,7.521509628,0.005891849,0.353510953,0.050214624,0.006852315,35.15160943,0.027535427,1.652125643,0.234676938,0.032024145,31.49547855,0.024671458,1.480287492,0.21026811,0.028693303,222.5983937,0.174368742,10.4621245,1.48609723,0.202793652,12.89912441,0.010104314,0.606258847,0.086116314,0.01175148,3.669810738,0.002874685,0.172481105,0.024500157,0.003343305,15.18162762,0.011892275,0.713536498,0.101354616,0.013830907,17.18200324,0.013459236,0.807554152,0.114709397,0.015653308,138.418397,0.108427744,6.505664661,0.924100094,0.126103211,9.218117766,0.007220859,0.433251535,0.061541411,0.008397975,32.72086283,0.025631343,1.537880553,0.218448942,0.029809664,26.88766791,0.448127799,47,52,1.11,711,7.04,51.59,60,1
B1R4,3,Harvest,201.777,25.421,157.241,137.727,1039.898,49.527,7.271,59.932,69.459,630.047,31.726,135.041,44.8560045,0.035137204,2.108232212,0.25741541,0.040723048,7.582811192,0.005939869,0.356392126,0.043515522,0.006884144,35.44323183,0.027763865,1.665831896,0.203398278,0.032177553,31.3189089,0.024533145,1.471988718,0.179730002,0.028433238,221.9945541,0.173895734,10.43374404,1.273961422,0.201540352,12.6776625,0.009930836,0.595850138,0.072753375,0.011509564,3.746772392,0.002934972,0.176098302,0.021501624,0.003401551,14.87678006,0.011653478,0.699208663,0.085373463,0.013506059,16.89033057,0.013230759,0.793845537,0.096928637,0.015334084,135.3717255,0.106041185,6.362471101,0.776858498,0.122898804,8.915385552,0.006983719,0.419023121,0.051162774,0.008093937,30.75121743,0.024088454,1.445307219,0.176472188,0.027917852,26.52799308,0.442133218,47,54.5,1.16,763,8.19,51.77,60,1
B2R1,1,Harvest,262.974,32.536,199.567,186.269,1600.471,54.444,7.939,72.004,93.079,983.913,43.546,230.617,41.84801275,0.041848013,2.510880765,0.256474031,0.037447886,6.579937728,0.006579938,0.394796264,0.040326483,0.005888087,32.14369822,0.032143698,1.928621893,0.196999172,0.028763936,30.10846591,0.030108466,1.806507955,0.184525838,0.026942699,246.5492536,0.246549254,14.79295522,1.511027091,0.22062573,9.932913312,0.009932913,0.595974799,0.060875873,0.008888513,2.815416072,0.002815416,0.168924964,0.017254848,0.002519388,12.62043619,0.012620436,0.757226172,0.077346902,0.011293455,15.84592279,0.015845923,0.950755368,0.097114951,0.014179797,152.1862848,0.152186285,9.131177089,0.932704504,0.136184595,8.264996208,0.008264996,0.495899772,0.050653705,0.00739597,36.89583862,0.036895839,2.213750317,0.226123628,0.03301641,35.74747057,0.595791176,60,50.5,0.84,760,9.79,67.05,60,2
