Sample,Rep,Set,percentage_antho,Antho_type,Antho_short_name,treatment,Concentration_mg_berry
B1R2,1,Harvest,5.59,Delphinidin-3-glucoside,D3G,1,0.036350209
B1R2,2,Harvest,5.52,Delphinidin-3-glucoside,D3G,1,0.030829467
B1R2,3,Harvest,5.7,Delphinidin-3-glucoside,D3G,1,0.033326214
B1R2,1,1st point,6.25,Delphinidin-3-glucoside,D3G,1,0.016870069
B1R2,2,1st point,6.1,Delphinidin-3-glucoside,D3G,1,0.01505657
B1R2,3,1st point,5.73,Delphinidin-3-glucoside,D3G,1,0.012682011
B1R2,1,Harvest,0.88,Cyanindin-3-glucoside,C3G,1,0.005703563
B1R2,2,Harvest,0.91,Cyanindin-3-glucoside,C3G,1,0.005109758
B1R2,3,Harvest,0.95,Cyanindin-3-glucoside,C3G,1,0.00553515
B1R2,1,1st point,1.91,Cyanindin-3-glucoside,C3G,1,0.005169044
B1R2,2,1st point,1.89,Cyanindin-3-glucoside,C3G,1,0.004662961
B1R2,3,1st point,2.02,Cyanindin-3-glucoside,C3G,1,0.004475887
B1R2,1,Harvest,4.66,Petunidin-3-glucoside,Pet3G,1,0.03031917
B1R2,2,Harvest,4.7,Petunidin-3-glucoside,Pet3G,1,0.026285549
B1R2,3,Harvest,4.88,Petunidin-3-glucoside,Pet3G,1,0.028516715
B1R2,1,1st point,5.24,Petunidin-3-glucoside,Pet3G,1,0.01415841
B1R2,2,1st point,5.15,Petunidin-3-glucoside,Pet3G,1,0.012703863
B1R2,3,1st point,4.94,Petunidin-3-glucoside,Pet3G,1,0.010931829
B1R2,1,Harvest,4.88,Peonidin-3-glucoside,Peo3G,1,0.031726164
B1R2,2,Harvest,4.92,Peonidin-3-glucoside,Peo3G,1,0.027479441
B1R2,3,Harvest,5.23,Peonidin-3-glucoside,Peo3G,1,0.030569061
B1R2,1,1st point,6.48,Peonidin-3-glucoside,Peo3G,1,0.017506442
B1R2,2,1st point,6.33,Peonidin-3-glucoside,Peo3G,1,0.015620375
B1R2,3,1st point,6.51,Peonidin-3-glucoside,Peo3G,1,0.014413528
B1R2,1,Harvest,41.65,Malvidin-3-glucoside,M3G,1,0.270878885
B1R2,2,Harvest,42.17,Malvidin-3-glucoside,M3G,1,0.235640374
B1R2,3,Harvest,41.82,Malvidin-3-glucoside,M3G,1,0.244522082
B1R2,1,1st point,36.24,Malvidin-3-glucoside,M3G,1,0.097901638
B1R2,2,1st point,35.47,Malvidin-3-glucoside,M3G,1,0.087560775
B1R2,3,1st point,35.58,Malvidin-3-glucoside,M3G,1,0.078784633
B1R2,1,Harvest,1.36,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.008865161
B1R2,2,Harvest,1.38,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.007717711
B1R2,3,Harvest,1.49,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.008703244
B1R2,1,1st point,1.99,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.005383694
B1R2,2,1st point,1.98,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.004881522
B1R2,3,1st point,1.96,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.004337732
B1R2,1,Harvest,0.45,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002922681
B1R2,2,Harvest,0.5,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002787887
B1R2,3,Harvest,0.47,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002739967
B1R2,1,1st point,1.01,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002727928
B1R2,2,1st point,1.02,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002528486
B1R2,3,1st point,1.15,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002556219
B1R2,1,Harvest,1.85,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.012059865
B1R2,2,Harvest,1.92,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.010747048
B1R2,3,Harvest,2,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.011677417
B1R2,1,1st point,2.7,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.007285239
B1R2,2,1st point,2.85,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.00704272
B1R2,3,1st point,2.79,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.006181906
B1R2,1,Harvest,2.65,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.017224361
B1R2,2,Harvest,2.77,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.015465397
B1R2,3,Harvest,2.76,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.016166178
B1R2,1,1st point,3.96,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.01068546
B1R2,2,1st point,4.18,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.010315527
B1R2,3,1st point,4.21,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.009331467
B1R2,1,Harvest,27.6,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.179459039
B1R2,2,Harvest,27.13,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.151601197
B1R2,3,Harvest,26.74,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.156368778
B1R2,1,1st point,25.56,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.069049335
B1R2,2,1st point,26.21,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.064701268
B1R2,3,1st point,26.51,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.058702368
B1R2,1,Harvest,1.67,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.010848874
B1R2,2,Harvest,1.63,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.009135077
B1R2,3,Harvest,1.62,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.009474524
B1R2,1,1st point,2.77,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.00748036
B1R2,2,1st point,2.9,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.007158351
B1R2,3,1st point,2.76,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.006101413
B1R2,1,Harvest,6.76,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.043956749
B1R2,2,Harvest,6.44,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.035993026
B1R2,3,Harvest,6.36,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.03716957
B1R2,1,1st point,5.88,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.015894464
B1R2,2,1st point,5.93,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.01464518
B1R2,3,1st point,5.85,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.012958487
B1R3,1,Harvest,8.66,Delphinidin-3-glucoside,D3G,1,0.036604346
B1R3,2,Harvest,7.8,Delphinidin-3-glucoside,D3G,1,0.034243158
B1R3,3,Harvest,7.66,Delphinidin-3-glucoside,D3G,1,0.02866113
B1R3,1,1st point,9.7,Delphinidin-3-glucoside,D3G,1,0.021917439
B1R3,2,1st point,9.27,Delphinidin-3-glucoside,D3G,1,0.018090257
B1R3,3,1st point,8.6,Delphinidin-3-glucoside,D3G,1,0.017511236
B1R3,1,Harvest,1.21,Cyanindin-3-glucoside,C3G,1,0.005097358
B1R3,2,Harvest,1.25,Cyanindin-3-glucoside,C3G,1,0.005508225
B1R3,3,Harvest,1.3,Cyanindin-3-glucoside,C3G,1,0.004848184
B1R3,1,1st point,2.74,Cyanindin-3-glucoside,C3G,1,0.006194737
B1R3,2,1st point,2.76,Cyanindin-3-glucoside,C3G,1,0.005380795
B1R3,3,1st point,2.61,Cyanindin-3-glucoside,C3G,1,0.005322017
B1R3,1,Harvest,6.79,Petunidin-3-glucoside,Pet3G,1,0.02868637
B1R3,2,Harvest,6.39,Petunidin-3-glucoside,Pet3G,1,0.028077765
B1R3,3,Harvest,6.3,Petunidin-3-glucoside,Pet3G,1,0.023565239
B1R3,1,1st point,7.03,Petunidin-3-glucoside,Pet3G,1,0.015891821
B1R3,2,1st point,7.04,Petunidin-3-glucoside,Pet3G,1,0.013732488
B1R3,3,1st point,6.66,Petunidin-3-glucoside,Pet3G,1,0.013563579
B1R3,1,Harvest,5.05,Peonidin-3-glucoside,Peo3G,1,0.021342835
B1R3,2,Harvest,5.09,Peonidin-3-glucoside,Peo3G,1,0.0223524
B1R3,3,Harvest,5.15,Peonidin-3-glucoside,Peo3G,1,0.019247513
B1R3,1,1st point,7.08,Peonidin-3-glucoside,Peo3G,1,0.015993899
B1R3,2,1st point,7.14,Peonidin-3-glucoside,Peo3G,1,0.013930276
B1R3,3,1st point,6.93,Peonidin-3-glucoside,Peo3G,1,0.014109878
B1R3,1,Harvest,39.16,Malvidin-3-glucoside,M3G,1,0.165505139
B1R3,2,Harvest,39.68,Malvidin-3-glucoside,M3G,1,0.174268425
B1R3,3,Harvest,39.92,Malvidin-3-glucoside,M3G,1,0.149326225
B1R3,1,1st point,30.92,Malvidin-3-glucoside,M3G,1,0.069887221
B1R3,2,1st point,31.31,Malvidin-3-glucoside,M3G,1,0.061083123
B1R3,3,1st point,32.25,Malvidin-3-glucoside,M3G,1,0.065680019
B1R3,1,Harvest,2.27,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.009595618
B1R3,2,Harvest,2.27,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.009971361
B1R3,3,Harvest,2.2,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.008216777
B1R3,1,1st point,3.56,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.008055353
B1R3,2,1st point,3.21,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.006253766
B1R3,3,1st point,3.08,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.006271391
B1R3,1,Harvest,0.69,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002906528
B1R3,2,Harvest,0.66,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002895346
B1R3,3,Harvest,0.71,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002653055
B1R3,1,1st point,1.32,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002986914
B1R3,2,1st point,1.42,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.00276768
B1R3,3,1st point,1.38,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002805277
B1R3,1,Harvest,2.74,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.011592697
B1R3,2,Harvest,2.71,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.011892077
B1R3,3,Harvest,2.67,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.009971533
B1R3,1,1st point,4.01,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.009055303
B1R3,2,1st point,3.97,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.007737656
B1R3,3,1st point,3.83,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.007799277
B1R3,1,Harvest,2.75,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.011608381
B1R3,2,Harvest,2.86,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.012566279
B1R3,3,Harvest,2.83,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.010596863
B1R3,1,1st point,4.47,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.010108359
B1R3,2,1st point,4.5,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.008776202
B1R3,3,1st point,4.38,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.008912028
B1R3,1,Harvest,24,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.101431472
B1R3,2,Harvest,24.43,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.107290824
B1R3,3,Harvest,24.36,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.091130004
B1R3,1,1st point,22.17,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.05011686
B1R3,2,1st point,22.31,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.043534952
B1R3,3,1st point,23.02,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.046885656
B1R3,1,Harvest,1.47,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.006224379
B1R3,2,Harvest,1.47,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.006454595
B1R3,3,Harvest,1.49,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.005558825
B1R3,1,1st point,2.67,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.006041143
B1R3,2,1st point,2.7,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.005270144
B1R3,3,1st point,2.69,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.005470858
B1R3,1,Harvest,5.22,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.022058114
B1R3,2,Harvest,5.39,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.023659876
B1R3,3,Harvest,5.42,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.020272286
B1R3,1,1st point,4.33,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.009785272
B1R3,2,1st point,4.38,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.008537343
B1R3,3,1st point,4.58,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.009330135
B1R4,1,Harvest,8.23,Delphinidin-3-glucoside,D3G,1,0.035400647
B1R4,2,Harvest,8.04,Delphinidin-3-glucoside,D3G,1,0.036049866
B1R4,3,Harvest,7.95,Delphinidin-3-glucoside,D3G,1,0.035137204
B1R4,1,1st point,9.15,Delphinidin-3-glucoside,D3G,1,0.019798834
B1R4,2,1st point,9.45,Delphinidin-3-glucoside,D3G,1,0.020966365
B1R4,3,1st point,8.76,Delphinidin-3-glucoside,D3G,1,0.016400893
B1R4,1,Harvest,1.35,Cyanindin-3-glucoside,C3G,1,0.005824474
B1R4,2,Harvest,1.31,Cyanindin-3-glucoside,C3G,1,0.005891849
B1R4,3,Harvest,1.34,Cyanindin-3-glucoside,C3G,1,0.005939869
B1R4,1,1st point,2.95,Cyanindin-3-glucoside,C3G,1,0.006378266
B1R4,2,1st point,2.93,Cyanindin-3-glucoside,C3G,1,0.006506194
B1R4,3,1st point,2.98,Cyanindin-3-glucoside,C3G,1,0.005574113
B1R4,1,Harvest,6.34,Petunidin-3-glucoside,Pet3G,1,0.02727517
B1R4,2,Harvest,6.14,Petunidin-3-glucoside,Pet3G,1,0.027535427
B1R4,3,Harvest,6.28,Petunidin-3-glucoside,Pet3G,1,0.027763865
B1R4,1,1st point,6.87,Petunidin-3-glucoside,Pet3G,1,0.014874046
B1R4,2,1st point,6.9,Petunidin-3-glucoside,Pet3G,1,0.015305745
B1R4,3,1st point,6.64,Petunidin-3-glucoside,Pet3G,1,0.012441924
B1R4,1,Harvest,5.28,Peonidin-3-glucoside,Peo3G,1,0.022726665
B1R4,2,Harvest,5.51,Peonidin-3-glucoside,Peo3G,1,0.024671458
B1R4,3,Harvest,5.55,Peonidin-3-glucoside,Peo3G,1,0.024533145
B1R4,1,1st point,7.73,Peonidin-3-glucoside,Peo3G,1,0.016741692
B1R4,2,1st point,7.47,Peonidin-3-glucoside,Peo3G,1,0.016574567
B1R4,3,1st point,7.58,Peonidin-3-glucoside,Peo3G,1,0.014196182
B1R4,1,Harvest,39.86,Malvidin-3-glucoside,M3G,1,0.171399076
B1R4,2,Harvest,38.91,Malvidin-3-glucoside,M3G,1,0.174368742
