Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
11/13/2019,8/15/2019,B1R3,1,1.283,0.606,46.0,51.50,5.89,50.80,60
11/13/2019,8/15/2019,B1R3,2,1.377,0.545,46.0,50.00,5.83,50.69,60
11/13/2019,8/15/2019,B1R3,3,1.431,0.593,46.0,50.50,5.53,50.91,60
11/13/2019,8/15/2019,B1R4,1,1.141,0.488,44.0,53.00,6.44,49.34,60
11/13/2019,8/15/2019,B1R4,2,1.194,0.517,45.0,53.00,5.64,49.45,60
11/13/2019,8/15/2019,B1R4,3,1.408,0.555,44.0,51.00,4.67,49.23,60
11/19/2019,8/15/2019,B2R1,1,1.489,0.467,55.0,52.00,6.17,59.84,60
11/19/2019,8/15/2019,B2R1,2,1.667,0.479,55.0,54.00,6.91,59.99,60
11/19/2019,8/15/2019,B2R1,3,1.622,0.422,55.0,51.00,6.58,59.87,60
11/19/2019,8/15/2019,B2R2,1,1.761,0.631,59.0,49.50,6.98,65.26,60
11/19/2019,8/15/2019,B2R2,2,1.621,0.584,59.0,53.00,7.93,65.03,60
11/19/2019,8/15/2019,B2R2,3,1.909,0.647,59.0,51.00,7.75,65.07,60
11/19/2019,8/15/2019,B2R3,1,1.29,0.421,48.0,49.00,6.39,52.96,60
11/19/2019,8/15/2019,B2R3,2,1.175,0.364,48.0,52.00,6.00,53.10,60
11/19/2019,8/15/2019,B2R3,3,1.483,0.497,48.0,51.00,6.23,53.24,60
11/14/2019,8/15/2019,B3R2,1,1.368,0.463,50.0,50.50,5.15,54.25,60
11/14/2019,8/15/2019,B3R2,2,1.585,0.508,50.0,55.00,6.95,54.51,60
11/14/2019,8/15/2019,B3R2,3,1.334,0.569,50.0,50.50,5.41,54.10,60
11/15/2019,8/15/2019,B3R3,1,1.355,0.442,48.0,52.00,7.31,52.78,60
11/15/2019,8/15/2019,B3R3,2,1.6,0.593,48.0,50.00,6.61,52.95,60
11/15/2019,8/15/2019,B3R3,3,1.648,0.503,48.0,50.00,6.21,52.85,60
11/14/2019,8/20/2019,B1R2,1,1.469,0.487,64.0,51.00,8.07,69.82,60
11/14/2019,8/20/2019,B1R2,2,2.03,0.519,64.0,51.50,8.92,69.55,60
11/14/2019,8/20/2019,B1R2,3,1.856,0.591,64.0,51.50,7.41,69.71,60
11/14/2019,8/20/2019,B1R3,1,1.366,0.515,45.0,50.50,5.78,49.24,60
11/14/2019,8/20/2019,B1R3,2,1.093,0.442,45.0,52.50,5.58,49.26,60
11/14/2019,8/20/2019,B1R3,3,1.125,0.446,45.0,53.00,6.35,49.23,60
11/12/2019,9/12/2019,B1R2,1,2.032,0.845,69.0,54.50,10.67,75.33,60
