Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B1R2,1,Harvest,209.144,D3G,69,54.5,10.67,75.33,60
B1R2,2,Harvest,166.816,D3G,69,57,11.24,75.67,60
B1R2,3,Harvest,201.613,D3G,69,51.5,10.58,75.98,60
B1R3,1,Harvest,220.598,D3G,47,52,8.71,52.66,60
B1R3,2,Harvest,187.830,D3G,47,57,8.71,52.89,60
B1R3,3,Harvest,155.507,D3G,47,57,8.76,52.14,60
B1R4,1,Harvest,209.045,D3G,47,53,8.05,51.76,60
B1R4,2,Harvest,217.098,D3G,47,52,7.04,51.59,60
B1R4,3,Harvest,201.777,D3G,47,54.5,8.19,51.77,60
B2R1,1,Harvest,262.974,D3G,60,50.5,9.79,67.05,60
B2R1,2,Harvest,207.991,D3G,60,53.5,10.54,67.21,60
B2R1,3,Harvest,249.460,D3G,61,50.5,10.56,67.11,60
B2R2,1,Harvest,263.140,D3G,58,51,10.42,64.16,60
B2R2,2,Harvest,220.833,D3G,58,53,10.23,64.18,60
B2R2,3,Harvest,234.218,D3G,58,54.5,10.71,64.23,60
B2R3,1,Harvest,184.110,D3G,52,53.5,7.54,57.23,60
B2R3,2,Harvest,174.386,D3G,52,59,7.01,56.82,60
B2R3,3,Harvest,164.918,D3G,52,54,7.31,57.06,60
B3R1,1,Harvest,185.384,D3G,56,57.5,8.93,62.67,60
B3R1,2,Harvest,154.197,D3G,56,55.5,9.59,62.56,60
B3R1,3,Harvest,161.966,D3G,56,52.5,8.9,62.95,60
B3R2,1,Harvest,197.194,D3G,55,56.5,9.17,61.52,60
B3R2,2,Harvest,229.472,D3G,55,52.5,9.66,61.82,60
B3R2,3,Harvest,198.973,D3G,55,59,8.45,61.45,60
B3R3,1,Harvest,271.640,D3G,54,54,8.69,60.68,60
B3R3,2,Harvest,239.307,D3G,54,51,8.82,60.48,60
B3R3,3,Harvest,214.104,D3G,54,54,8.45,60.31,60
B1R2,1,1st point,89.750,D3G,56,55.5,6.57,60.8,60
B1R2,2,1st point,80.822,D3G,56,54.5,6.69,60.8,60
B1R2,3,1st point,65.642,D3G,56,55,5.95,60.5,60
B1R3,1,1st point,127.389,D3G,34,52.5,4.94,42,60
B1R3,2,1st point,101.860,D3G,34,53,5.25,42,60
B1R3,3,1st point,95.547,D3G,34,54.5,5.1,42.3,60
B1R4,1,1st point,116.193,D3G,36,51.5,5.8,44.8,60
B1R4,2,1st point,127.521,D3G,36,50,5.66,44.7,60
B1R4,3,1st point,89.561,D3G,36,54,6.27,45,60
B2R1,1,1st point,89.592,D3G,50,50,6.32,54.9,60
B2R1,2,1st point,83.782,D3G,50,53,5.99,54.9,60
B2R1,3,1st point,96.183,D3G,50,52,5.92,55.1,60
B2R2,1,1st point,191.574,D3G,54,52.5,6.6,59.6,60
B2R2,2,1st point,176.963,D3G,54,52,7.08,59.2,60
B2R2,3,1st point,135.043,D3G,54,54,6.92,59.3,60
B2R3,1,1st point,84.751,D3G,44,52,5.74,47,60
B2R3,2,1st point,59.151,D3G,44,51,5.77,47,60
