date,Day,Year,hhmmss,BH445_LEAF,BH445_BLOCK,BH445_VINE,TIME,E,A,Ci,gsw,Fv/Fm
7/25/2019,206,2019,5:17:02,1,B1_R2,2,1564049814,0.000199771,-0.262614593,417.1829779,0.016461742,0.832194713
7/25/2019,206,2019,5:20:06,1,B1_R2,3,1564049998,0.000249141,-0.13846087,401.9758775,0.019984336,0.814767182
7/25/2019,206,2019,5:23:42,1,B1_R2,6,1564050214,0.00025281,-0.374043637,421.0426376,0.020037676,0.768451822
7/25/2019,206,2019,5:51:16,1,B1_R3,1,1564059069,0.000166646,-0.286314326,426.8359325,0.012823561,0.808676302
7/25/2019,206,2019,5:54:35,1,B1_R3,4,1564059268,6.35E-05,-0.306975186,491.70505,0.004863172,0.82205989
7/25/2019,206,2019,5:58:19,1,B1_R3,5,1564059492,5.57E-05,-0.366493253,529.4495538,0.004210953,0.828194567
7/25/2019,206,2019,5:25:17,1,B1_R4,5,1563971099,2.79E-06,4.769083694,-38810.23201,0.000192412,0.725027676
7/25/2019,206,2019,5:30:47,1,B1_R4,3,1563971439,0.000107505,-0.803342466,559.4523874,0.007584295,0.820155477
7/25/2019,206,2019,5:36:41,1,B1_R4,2,1563971793,0.000166473,1.375709186,194.5421936,0.011638846,0.795397125
7/25/2019,206,2019,5:44:57,1,B2_R1,5,1564051490,0.000203251,0.689374831,321.6029904,0.016323495,0.797689446
7/25/2019,206,2019,5:48:52,1,B2_R1,3,1564051724,0.000129652,1.357030585,176.7067058,0.010182297,0.821113136
7/25/2019,206,2019,5:51:43,1,B2_R1,1,1564051895,0.000239796,0.495463736,353.4942119,0.02119997,0.8031225
7/25/2019,206,2019,5:21:35,1,B2_R2,2,1564057288,0.000113204,0.329343079,328.3085024,0.008507124,0.780953154
7/25/2019,206,2019,5:27:13,1,B2_R2,3,1564057626,7.11E-05,-0.554645291,564.3213561,0.005069791,0.791601103
7/25/2019,206,2019,5:31:20,1,B2_R2,5,1564057873,8.52E-05,-0.560718055,528.8774528,0.00647841,0.79537764
7/25/2019,206,2019,5:43:31,1,B2_R3,5,1563972203,0.000206854,0.37629804,347.7733156,0.014705125,0.798359773
7/25/2019,206,2019,5:47:05,1,B2_R3,4,1563972417,0.000188475,0.557080633,322.2117948,0.013353326,0.804771395
7/25/2019,206,2019,5:49:58,1,B2_R3,2,1563972591,7.82E-05,-0.66617451,575.5767391,0.005520059,0.823619613
7/25/2019,206,2019,5:56:22,1,B3_R1,6,1563972974,0.000425794,8.547659065,-55.5462788,0.03247458,0.815855505
7/25/2019,206,2019,5:58:58,1,B3_R1,3,1563973130,0.0002466,0.713877368,325.949634,0.018004335,0.829238646
7/25/2019,206,2019,6:02:41,1,B3_R1,1,1563973353,0.000312414,-0.356377786,416.586627,0.022594901,0.780944786
7/25/2019,206,2019,5:38:04,1,B3_R2,2,1564058276,7.35E-05,-0.455977056,517.8569899,0.00572116,0.774817164
7/25/2019,206,2019,5:41:33,1,B3_R2,3,1564058486,0.000106218,-0.535971971,493.7975745,0.008348991,0.817339563
7/25/2019,206,2019,5:44:43,1,B3_R2,5,1564058675,0.000108481,-0.452966197,476.0990454,0.008513702,0.825500383
7/25/2019,206,2019,5:31:04,1,B3_R3,6,1564050656,0.000190511,0.842172761,299.5063062,0.015062847,0.787179759
7/25/2019,206,2019,5:35:05,1,B3_R3,4,1564050897,0.000178735,0.543969946,330.063218,0.014546354,0.77162308
7/25/2019,206,2019,5:38:24,1,B3_R3,2,1564051097,0.000208822,-0.211904392,411.778261,0.016691954,0.824872997
