"","X.1","X","date","year","day","hhmmss","pixel_number","BH_Block","BH_Vine","BH_Leaf","round","E","A","Ci","gsw","Fv.Fm","Tleaf","Tair","VPDleaf","RHcham","Leaf_wp_bar","Stem_wp_bar","Leak","wrong_vine","treatment","Rep","leaf_temp_C"
"1",1,1,"07-01-2019",2019,182,"7:08:14",35,"B1_R1",1,1,"1",0.008770115,4.390281078,375.4884936,1.571590021,0.776368784,16.80074839,18.65527419,0.764145788,53.56326326,-5.2,NA,"No","No",2,2,NA
"2",11,6,"07-28-2019",2019,209,"5:58:44",34,"B1_R2",1,1,"1",0.000791173,2.040427968,344.6308788,0.072135803,0.818931809,21.65847097,23.9198871,1.10436657,50.13675232,-3.7,NA,"No","No",1,2,NA
"3",13,7,"07-28-2019",2019,209,"08:57:39",34,"B1_R2",1,1,"2",0.00680786,14.6005658,284.282105,0.301549824,0.791868226,34.26644706,36.43255294,2.343030427,50.38942512,-10.2,NA,"No","No",1,2,"30.1"
"4",15,8,"07-12-2019",2019,193,"8:52:27",35,"B1_R1",1,1,"2",0.001711432,8.610678549,253.7656633,0.103349968,0.822410922,27.67663871,29.1381,1.668250526,50.70613316,-7.7,NA,"No","No",2,2,NA
"5",16,8,"07-28-2019",2019,209,"11:38:09",34,"B1_R2",1,1,"3",0.005889281,9.067976102,227.1484884,0.111805043,-2.468867793,41.72094286,42.06841429,5.170765588,35.68470779,-14.8,NA,"No","No",1,2,"38"
"6",17,9,"07-12-2019",2019,193,"12:03:19",35,"B1_R1",1,1,"3",0.003105799,10.18648617,193.2723906,0.087873891,0.822410922,38.7464871,38.60515161,3.462250285,50.43245132,-11,NA,"No","No",2,2,NA
"7",18,9,"07-28-2019",2019,209,"13:49:05",34,"B1_R2",1,1,"4",0.005529316,7.344130693,257.275601,0.114216322,0.791868226,45.47076129,46.46090645,4.641973915,50.37194666,-14.5,-9.4,"No","No",1,2,"41.1"
"8",19,10,"07-12-2019",2019,193,"14:15:27",35,"B1_R1",1,1,"4",0.005239791,15.16108469,219.7129945,0.159925165,0.822410922,40.37296774,42.24005806,3.233739092,51.85435152,-14.6,-9.5,"No","No",2,2,NA
"9",20,10,"07-28-2019",2019,209,"16:44:25",34,"B1_R2",1,1,"5",0.007198919,6.68016899,275.6557407,0.132036546,-2.468867793,45.39493871,46.03200645,5.267287539,44.95807081,-13.2,NA,"No","No",1,2,"37.4"
"10",21,11,"07-12-2019",2019,193,"17:23:12",35,"B1_R1",1,1,"5",0.006048681,11.59946146,251.5170964,0.151992829,0.760068969,42.02076129,42.71648065,3.882706889,51.0504183,-14.75,NA,"No","No",2,2,NA
"11",23,12,"07-12-2019",2019,193,"19:34:21",35,"B1_R1",1,1,"6",-0.000167969,1.793940407,692.2165418,-0.009393405,0.822410922,34.98166129,35.55209677,1.710832739,67.51766762,-9.7,NA,"No","No",2,2,NA
"12",25,13,"07-01-2019",2019,182,"7:11:04",35,"B1_R1",2,1,"1",0.000783007,-0.302088193,399.5692232,0.072674873,0.764236832,18.22478065,19.06177742,1.092182482,45.55981003,-6.1,NA,"No","No",2,2,NA
"13",27,14,"07-01-2019",2019,182,"10:31:43",35,"B1_R1",2,1,"2",0.002974969,11.5645607,216.1306376,0.121010509,0.774975295,33.25763548,33.30953871,2.454628696,51.95994197,-9.4,NA,"No","No",2,2,NA
"14",29,15,"07-01-2019",2019,182,"14:11:24",35,"B1_R1",2,1,"3",0.007681423,16.5734528,247.8090811,0.247904213,0.774975295,37.86582903,38.78810323,3.144571386,49.87031612,NA,NA,"No","No",2,2,NA
"15",31,16,"07-01-2019",2019,182,"16:51:20",35,"B1_R1",2,1,"4",0.003221454,7.769997806,250.1302625,0.103348806,0.774975295,36.95686552,36.9451069,3.063366099,51.33116736,NA,NA,"No","No",2,2,NA
"16",32,16,"08-15-2019",2019,227,"06:00:33",34,"B1_R2",1,1,"1",0.000249554,-0.057485403,395.0475907,0.020525757,0.803964145,21.58139032,22.81171613,1.210462374,49.36074654,-2.4,NA,"No","No",1,2,NA
"17",33,17,"08-15-2019",2019,227,"8:44:19",34,"B1_R2",1,1,"2",0.00535724,13.37381356,263.3027134,0.213113259,0.804241053,34.61519032,35.79735806,2.562416472,50.26079187,-9.4,NA,"No","No",1,2,"22.6"
"18",35,18,"08-15-2019",2019,227,"11:18:27",34,"B1_R2",1,1,"3",0.006291636,14.60844409,240.382235,0.17316362,0.906757924,40.45243548,41.16467097,3.609711869,50.52286236,-14.6,NA,"No","No",1,2,"34.3"
"19",37,19,"08-15-2019",2019,227,"13:44:36",34,"B1_R2",1,1,"4",0.006403599,5.006042684,299.8976113,0.13014682,0.804241053,45.5247,46.28078065,4.743798313,50.11465716,-12.1,-8.4,"No","No",1,2,"40.1"
"20",39,20,"08-15-2019",2019,227,"16:35:07",34,"B1_R2",1,1,"5",0.005806621,10.09377547,181.3041594,0.088746575,0.906757924,46.23440323,47.05570323,6.261606579,37.42541466,-15.2,NA,"No","No",1,2,"37.5"
"21",41,21,"08-20-2019",2019,232,"5:40:38",34,"B1_R2",1,1,"1",0.003769222,-0.726428809,396.0278773,0.440464958,0.8065959,18.4799,19.44147778,0.942995761,52.57155859,-2.2,NA,"No","No",1,2,NA
"22",43,22,"08-20-2019",2019,232,"8:42:12",34,"B1_R2",1,1,"2",0.003061034,12.08391003,280.578641,0.210653158,0.820766037,25.99799032,26.64738065,1.505853237,53.28474556,-5.1,NA,"No","No",1,2,"21"
"23",45,23,"08-20-2019",2019,232,"11:06:54",34,"B1_R2",1,1,"3",0.005559684,15.02726795,248.509008,0.214490455,0.814224199,34.14957419,34.3586129,2.655105156,50.13270713,-9.3,NA,"No","No",1,2,"24.3"
"24",47,24,"08-20-2019",2019,232,"13:06:02",34,"B1_R2",1,1,"4",0.007122237,17.99068309,244.7711559,0.260881669,0.820766037,35.77042,36.49762,2.805333888,50.35070243,-13.1,-10.2,"No","No",1,2,"27.8"
"25",49,25,"07-01-2019",2019,182,"7:15:29",35,"B1_R1",3,1,"1",0.001333996,-0.112849249,394.0871773,0.131023411,0.722566781,18.87875161,19.55204194,1.045317859,50.09118313,-5.4,NA,"No","No",2,2,NA
"26",50,25,"08-20-2019",2019,232,"16:36:33",34,"B1_R2",1,1,"5",0.005919686,15.56787766,241.4284716,0.211920185,0.814224199,37.113495,37.85675,2.826124697,53.25520287,-13,NA,"No","No",1,2,"29.3"
