Column1,X,date,year,day,hhmmss,pixel_number,BH_Block,BH_Vine,BH_Leaf,round,E,A,Ci,gsw,Fv.Fm,Leaf_wp_bar,Stem_wp_bar,Leak,wrong_vine,Tleaf,leaf_temp_C
1,1,7/1/2019,2019,182,7:08:14 AM,35,B1_R1,1,1,1,0.008770115,4.390281078,375.4884936,1.571590021,0.776368784,5.2,NA,No,No,16.80074839,NA
2,1,NA,2019,206,NA,34,B1_R2,1,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
3,2,NA,2019,182,NA,35,B1_R1,1,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
4,2,NA,2019,206,NA,34,B1_R2,1,1,2,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
5,3,NA,2019,182,NA,35,B1_R1,1,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
6,3,NA,2019,206,NA,34,B1_R2,1,1,3,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
7,4,NA,2019,182,NA,35,B1_R1,1,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
8,4,NA,2019,206,NA,34,B1_R2,1,1,4,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
9,5,NA,2019,182,NA,35,B1_R1,1,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
10,5,NA,2019,206,NA,34,B1_R2,1,1,5,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
25,13,7/1/2019,2019,182,7:11:04 AM,35,B1_R1,2,1,1,0.000783007,-0.302088193,399.5692232,0.072674873,0.764236832,6.1,NA,No,No,18.22478065,NA
12,6,NA,2019,186,NA,35,B1_R1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
27,14,7/1/2019,2019,182,10:31:43 AM,35,B1_R1,2,1,2,0.002974969,11.5645607,216.1306376,0.121010509,0.774975295,9.4,NA,No,No,33.25763548,NA
14,7,NA,2019,193,NA,35,B1_R1,1,1,1,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA
29,15,7/1/2019,2019,182,2:11:24 PM,35,B1_R1,2,1,3,0.007681423,16.5734528,247.8090811,0.247904213,0.774975295,NA,NA,No,No,37.86582903,NA
