"","ï..Sample","Rep","Set","mAU","short_name_antho","Extract_ini_vol","Extract_final_vol","Skin_weight_aft","Berry_weight","Berry_numb","dilution_factor","concetration_mg_l","antho_mg_berry","antho_mg_g_berry_weight","antho_mg_g_Skin","Block_id","treatment","main_antho","hydroxylation","total_antho_mg_berry"
"1","B1R2",1,"Harvest",209.144,"D3G",69,54.5,10.67,75.33,60,0.789855072463768,31.3371650714858,0.0360377398322086,0.0287038947289595,0.202648958756562,"B1R2",1,"Delphinidins","trihydroxylated",0.646739529150708
"2","B1R2",2,"Harvest",166.816,"D3G",69,57,11.24,75.67,60,0.826086956521739,26.3973729075641,0.0303569788436987,0.0240705528032499,0.162047929770634,"B1R2",1,"Delphinidins","trihydroxylated",0.552419438263724
"3","B1R2",3,"Harvest",201.613,"D3G",69,51.5,10.58,75.98,60,0.746376811594203,28.5870214126933,0.0328750746245972,0.0259608380820721,0.186437096169739,"B1R2",1,"Delphinidins","trihydroxylated",0.578645878472856
"4","B1R3",1,"Harvest",220.598,"D3G",47,52,8.71,52.66,60,1.1063829787234,46.2065121982453,0.0361951012219588,0.0412401457143473,0.249334796018086,"B1R3",1,"Delphinidins","trihydroxylated",0.417779867469147
"5","B1R3",2,"Harvest",187.83,"D3G",47,57,8.71,52.89,60,1.21276595744681,43.4016045727413,0.0339979235819807,0.0385682627135345,0.234199243963127,"B1R3",1,"Delphinidins","trihydroxylated",0.436330408535473
"6","B1R3",3,"Harvest",155.507,"D3G",47,57,8.76,52.14,60,1.21276595744681,36.2521911051956,0.0283975496990699,0.0326784231289642,0.194503765062122,"B1R3",1,"Delphinidins","trihydroxylated",0.370983645814335
"7","B1R4",1,"Harvest",209.045,"D3G",47,53,8.05,51.76,60,1.12765957446809,44.7190546408435,0.0350299261353274,0.0406065604350781,0.261092617157719,"B1R4",1,"Delphinidins","trihydroxylated",0.425581944799076
"8","B1R4",2,"Harvest",217.098,"D3G",47,52,7.04,51.59,60,1.1063829787234,45.5002673641158,0.0356418761018907,0.0414520753268742,0.30376598950475,"B1R4",1,"Delphinidins","trihydroxylated",0.443196768192595
"9","B1R4",3,"Harvest",201.777,"D3G",47,54.5,8.19,51.77,60,1.15957446808511,44.4476123491954,0.0348172963402031,0.0403522847288426,0.255071768060096,"B1R4",1,"Delphinidins","trihydroxylated",0.438307262751535
"10","B2R1",1,"Harvest",262.974,"D3G",60,50.5,9.79,67.05,60,0.841666666666667,41.6559299957444,0.0416559299957444,0.0372759999961919,0.255296813048485,"B2R1",2,"Delphinidins","trihydroxylated",0.593765577542708
"11","B2R1",2,"Harvest",207.991,"D3G",60,53.5,10.54,67.21,60,0.891666666666667,35.1889915800353,0.0351889915800353,0.0314140677697086,0.200316840114053,"B2R1",2,"Delphinidins","trihydroxylated",0.542577361541735
"12","B2R1",3,"Harvest",249.46,"D3G",61,50.5,10.56,67.11,60,0.827868852459016,38.9325900024816,0.039581466502523,0.0353879897206285,0.224894696037062,"B2R1",2,"Delphinidins","trihydroxylated",0.571695735910998
"13","B2R2",1,"Harvest",263.14,"D3G",58,51,10.42,64.16,60,0.879310344827586,43.5456196896992,0.0420940990333759,0.0393648058292169,0.242384447409074,"B2R2",2,"Delphinidins","trihydroxylated",0.554522358198067
"14","B2R2",2,"Harvest",220.833,"D3G",58,53,10.23,64.18,60,0.913793103448276,38.202434798468,0.0369290203051857,0.0345238581849664,0.216592494458567,"B2R2",2,"Delphinidins","trihydroxylated",0.503809867469147
"15","B2R2",3,"Harvest",234.218,"D3G",58,54.5,10.71,64.23,60,0.939655172413793,41.577504921167,0.0401915880904614,0.0375446876136959,0.22516295848998,"B2R2",2,"Delphinidins","trihydroxylated",0.509194868381057
"16","B2R3",1,"Harvest",184.11,"D3G",52,53.5,7.54,57.23,60,1.02884615384615,36.1215819175353,0.0313053709951973,0.0328205881480314,0.249114358051968,"B2R3",2,"Delphinidins","trihydroxylated",0.491965398808438
"17","B2R3",2,"Harvest",174.386,"D3G",52,59,7.01,56.82,60,1.13461538461538,37.8227959847922,0.0327797565201532,0.0346143152271945,0.280568529416433,"B2R3",2,"Delphinidins","trihydroxylated",0.472700403064016
"18","B2R3",3,"Harvest",164.918,"D3G",52,54,7.31,57.06,60,1.03846153846154,32.8242673157592,0.0284476983403246,0.029913457771109,0.233496840002665,"B2R3",2,"Delphinidins","trihydroxylated",0.440810807951851
"19","B3R1",1,"Harvest",185.384,"D3G",56,57.5,8.93,62.67,60,1.02678571428571,36.2878206339074,0.0338686325916469,0.0324256894127783,0.227560801287661,"B3R1",3,"Delphinidins","trihydroxylated",0.498123489269864
"20","B3R1",2,"Harvest",154.197,"D3G",56,55.5,9.59,62.56,60,0.991071428571429,29.3884762317292,0.0274292444829473,0.0263068201562794,0.171611540039295,"B3R1",3,"Delphinidins","trihydroxylated",0.404654754696334
"21","B3R1",3,"Harvest",161.966,"D3G",56,52.5,8.9,62.95,60,0.9375,29.1282771749043,0.0271863920299106,0.0259123673041245,0.183279047392656,"B3R1",3,"Delphinidins","trihydroxylated",0.409775027357286
"22","B3R2",1,"Harvest",197.194,"D3G",55,56.5,9.17,61.52,60,1.02727272727273,38.5177061330062,0.035307897288589,0.0344355305155289,0.231022228714868,"B3R2",3,"Delphinidins","trihydroxylated",0.474395522828135
"23","B3R2",2,"Harvest",229.472,"D3G",55,52.5,9.66,61.82,60,0.954545454545455,41.4101246829042,0.0379592809593288,0.0368417479385269,0.235771931424403,"B3R2",3,"Delphinidins","trihydroxylated",0.491262534196608
"24","B3R2",3,"Harvest",198.973,"D3G",55,59,8.45,61.45,60,1.07272727272727,40.5700837298758,0.0371892434190528,0.0363117104173014,0.264065633744754,"B3R2",3,"Delphinidins","trihydroxylated",0.50080960423126
"25","B3R3",1,"Harvest",271.64,"D3G",54,54,8.69,60.68,60,1,51.0727156666059,0.0459654440999453,0.0454503402438483,0.317367853394329,"B3R3",3,"Delphinidins","trihydroxylated",0.547544603319351
"26","B3R3",2,"Harvest",239.307,"D3G",54,51,8.82,60.48,60,0.944444444444444,42.6659969197722,0.038399397227795,0.0380946401069395,0.261220389304728,"B3R3",3,"Delphinidins","trihydroxylated",0.482968108699617
"27","B3R3",3,"Harvest",214.104,"D3G",54,54,8.45,60.31,60,1,40.5791902243297,0.0365212712018968,0.0363335478712288,0.259322635753113,"B3R3",3,"Delphinidins","trihydroxylated",0.482112814152836
"28","B1R2",1,"1st point",89.75,"D3G",56,55.5,6.57,60.8,60,0.991071428571429,17.7394555574373,0.0165568251869415,0.0163389722239554,0.151203882985767,"B1R2",1,"Delphinidins","trihydroxylated",0.266494035199708
"29","B1R2",2,"1st point",80.822,"D3G",56,54.5,6.69,60.8,60,0.973214285714286,15.8351353859983,0.0147794596935984,0.0145849931186826,0.132551208014335,"B1R2",1,"Delphinidins","trihydroxylated",0.243837950027357
"30","B1R2",3,"1st point",65.642,"D3G",56,55,5.95,60.5,60,0.982142857142857,13.2612930225893,0.0123772068210834,0.0122749158556199,0.12481216962437,"B1R2",1,"Delphinidins","trihydroxylated",0.218020615234969
"31","B1R3",1,"1st point",127.389,"D3G",34,52.5,4.94,42,60,1.54411764705882,38.2384415465986,0.0216684502097392,0.030954928871056,0.26317955720331,"B1R3",1,"Delphinidins","trihydroxylated",0.222910582710195
"32","B1R3",2,"1st point",101.86,"D3G",34,53,5.25,42,60,1.55882352941176,31.3446916136508,0.0177619919144021,0.0253742741634316,0.202994193307452,"B1R3",1,"Delphinidins","trihydroxylated",0.191150143473767
"33","B1R3",3,"1st point",95.547,"D3G",34,54.5,5.1,42.3,60,1.60294117647059,30.3862159509071,0.017218855705514,0.0244239088021475,0.202574773006047,"B1R3",1,"Delphinidins","trihydroxylated",0.200134410298498
"34","B1R4",1,"1st point",116.193,"D3G",36,51.5,5.8,44.8,60,1.43055555555556,32.5050765497396,0.0195030459298438,0.0261201507988979,0.201755647550108,"B1R4",1,"Delphinidins","trihydroxylated",0.212884262265183
"35","B1R4",2,"1st point",127.521,"D3G",36,50,5.66,44.7,60,1.38888888888889,34.4278020953655,0.0206566812572193,0.0277270889358648,0.218975419687837,"B1R4",1,"Delphinidins","trihydroxylated",0.218161955134051
"36","B1R4",3,"1st point",89.561,"D3G",36,54,6.27,45,60,1.5,26.7972004377166,0.0160783202626299,0.0214377603501733,0.153859524044306,"B1R4",1,"Delphinidins","trihydroxylated",0.183368294729163
"37","B2R1",1,"1st point",89.592,"D3G",50,50,6.32,54.9,60,1,17.8704541309502,0.0148920451091252,0.0162754591356559,0.141380175086631,"B2R1",2,"Delphinidins","trihydroxylated",0.208679311812268
"38","B2R1",2,"1st point",83.782,"D3G",50,53,5.99,54.9,60,1.06,17.8194641619551,0.0148495534682959,0.01622902018393,0.148743440416988,"B2R1",2,"Delphinidins","trihydroxylated",0.219219779925831
"39","B2R1",3,"1st point",96.183,"D3G",50,52,5.92,55.1,60,1.04,19.8354346160861,0.0165295288467384,0.0179994869474465,0.167529008581808,"B2R1",2,"Delphinidins","trihydroxylated",0.231937798042434
"40","B2R2",1,"1st point",191.574,"D3G",54,52.5,6.6,59.6,60,0.972222222222222,35.4570667923075,0.0319113601130768,0.032125530315178,0.290103273755244,"B2R2",2,"Delphinidins","trihydroxylated",0.344712561553894
"41","B2R2",2,"1st point",176.963,"D3G",54,52,7.08,59.2,60,0.962962962962963,32.5532940198999,0.0292979646179099,0.0296938830586925,0.248287835744999,"B2R2",2,"Delphinidins","trihydroxylated",0.31185037631467
"42","B2R2",3,"1st point",135.043,"D3G",54,54,6.92,59.3,60,1,26.1598942184935,0.0235439047966442,0.0238218261011577,0.204137902861077,"B2R2",2,"Delphinidins","trihydroxylated",0.292348561006748
